species,palmitic acid,stearic acid ,Oleic Acid ,Linoleic acid ,alpha-linoleic acid ,arachidic acid ,EPA ,DHA,gamma-linoleic acid,stearidonic acid,nervonic acid
Metzgeriales,12,4.1,10,6.9,9.3,0.4,3.4,nm,4.4,2.6,nm
Marchantiales,22.57061762,1.79,16.57333333,9.74,24.26909468,1.30874434,6.583571429,nm,2.118888889,1.68875,nm
Orthotrichales,18.59828969,nm,nm,nm,45.21343461,nm,nm,nm,,nm,nm
Bryales,15.83972288,5.286315789,13.97578947,8.920526316,13.52739507,0.53631579,1.501666667,nm,6.649533512,2.173333333,0.111666667
Rhizogoniales,22.31237323,nm,nm,nm,19.67545639,nm,nm,nm,nm,nm,nm
Hypnales,22.76336274,4.920375267,16.77214286,10.66866667,15.32357828,3.909375,3.830666667,nm,5.92308721,1.76,0.15
Leucodontales,17.58527507,4.916666667,3.138461538,10.73185185,12.04461538,2.074,3.4396,nm,3.671538462,0.847391304,0.19
Funariales,20.46,4.4,nm,10.31,44.16,17.015,4.776666667,nm,5.06,nm,nm
Grimmiales,16.62574721,0.7,nm,16.7,48.19944598,nm,nm,nm,nm,nm,nm
Pottiales,21.546314,3.183333333,14.5,29.36666667,18.99305647,0.75,0.9,nm,1.568391562,0.7,nm
Dicranales,15.72653686,4.201152819,7.993,10.0205,15.68701746,0.949166667,1.123076923,nm,5.240504914,1.886666667,
Sphagnales,13.67070341,5.67,15.105,8.025,11.12235678,0.665,3.155,nm,1.19,1.13,0.095
Polytrichales,11.7016875,3.973333333,11.25142857,11.83785714,11.1571875,0.63,1.760909091,nm,2.666,1.343333333,0.095
Lycopodiaceae,2.1,nm,43.2,12.1,nm,nm,nm,nm,nm,nm,nm
Psilotaceae,23.3,4.5,9.566666667,25.56666667,15.76666667,0.966666667,0.6,nm,0.1,nm,nm
Osmundaceae,22.7,2.4,19.4,46,nm,nm,nm,nm,nm,nm,nm
Anemiaceae,18.2,5,38.3,35.4,nm,nm,nm,nm,nm,nm,nm
Lygodiaceae,13.46666667,2.633333333,45.96666667,37,nm,nm,nm,nm,nm,nm,nm
Salviniaceae,9.02,10.7,9.6,4.535,3.255,4.785,2.04,3.253333333,1.015,2.186666667,nm
Azollaceae,22.64,5.6675,nm,nm,nm,nm,nm,nm,nm,nm,nm
Dryopteridaceae,14.15111111,1.652222222,38.2875,31.325,28.76666667,1.2775,2,nm,0.85,0.4,nm
Polypodiaceae,20.475,1.575,36.25,10.175,32.9,1.075,1.85,nm,0.7,,nm
Pteridaceae,16.875,3.5,66.2,9.833333333,nm,1.166666667,nm,nm,nm,nm,nm
Pinaceae,4.927446809,2.555957447,23.74272727,45.94295455,13.01093023,1.022,nm,nm,0.49,nm,0
Taxaceae,7.94,3.368,nm,44.13,0.6125,0.41,nm,nm,nm,nm,nm
Cupressaceae,14.61333333,3.253333333,4.03,nm,31.385,2.92,nm,nm,0,nm,nm
Nymphaeaceae,45.5,2.7,nm,nm,nm,0,nm,nm,nm,nm,nm
Ceratophyllaceae,36.7,1.7,nm,nm,nm,nm,nm,nm,nm,nm,nm
Araceae,22.48125,2.8612625,4.26,22.4,23.675,1.1925,nm,nm,nm,nm,nm
Hydrocharitaceae,25,3.85,nm,nm,nm,0.30005,nm,nm,nm,nm,nm
